"name","image","url","blurb","focus_code"
"Silent Planet - Elegy of a Dying World","[img]https://i.imgur.com/aZnYxsT.jpeg[/img]","https://store.steampowered.com/app/2742920/Silent_Planet__Elegy_of_a_Dying_World/","Looks sick.",""
"BLUE REVOLVER","[img]https://i.imgur.com/Vq5jwxO.jpeg[/img]","https://store.steampowered.com/app/439490/BLUE_REVOLVER/","",""
"Bogdan's Cross","[img]https://i.imgur.com/IMJrHxt.jpeg[/img]","https://store.steampowered.com/app/2503230/Bogdans_Cross/","Looks great.",""
"Locator","[img]https://i.imgur.com/vbIifj3.jpeg[/img]","https://store.steampowered.com/app/2459030/Locator/","",""
"Heartworm","[img]https://i.imgur.com/wOa8CVb.jpeg[/img]","https://store.steampowered.com/app/1257030/Heartworm/","",""
"Lunistice","[img]https://i.imgur.com/ibtv4lk.jpeg[/img]","https://store.steampowered.com/app/1701800/Lunistice/","",""
"Dorfromantik","[img]https://i.imgur.com/JnvDO8N.jpeg[/img]","https://store.steampowered.com/app/1455840/Dorfromantik/","",""
"Project Wingman","[img]https://i.imgur.com/Bquqqwe.jpeg[/img]","https://store.steampowered.com/app/895870/Project_Wingman/","*Spanish guitar intensifies*",""
"The Hungry Fly","[img]https://i.imgur.com/AohLnvg.jpeg[/img]","https://store.steampowered.com/app/2107180/The_Hungry_Fly/","",""
"Disc Room","[img]https://i.imgur.com/REnwsmL.jpeg[/img]","https://store.steampowered.com/app/1229580/Disc_Room/","",""
"Bloodless","[img]https://i.imgur.com/ANVq0se.jpeg[/img]","https://store.steampowered.com/app/1592490/Bloodless/","",""
"Beacon Pines","[img]https://i.imgur.com/vy5G1PL.jpeg[/img]","https://store.steampowered.com/app/1269640/Beacon_Pines/","",""
"Astalon: Tears of the Earth","[img]https://i.imgur.com/EpMr8S6.jpeg[/img]","https://store.steampowered.com/app/1046400/Astalon_Tears_of_the_Earth/","",""
"Clutchtime™: Basketball Deckbuilder","[img]https://i.imgur.com/0kok7J4.jpeg[/img]","https://store.steampowered.com/app/2995450/Clutchtime_Basketball_Deckbuilder/","",""
"Home Safety Hotline","[img]https://i.imgur.com/brWrSSF.jpeg[/img]","https://store.steampowered.com/app/2357910/Home_Safety_Hotline/","",""
"Lonely Mountains: Snow Riders","[img]https://i.imgur.com/jYlziuz.jpeg[/img]","https://store.steampowered.com/app/2545360/Lonely_Mountains_Snow_Riders/","",""
"Dice Gambit","[img]https://i.imgur.com/G61LHwv.jpeg[/img]","https://store.steampowered.com/app/1812860/Dice_Gambit/","Feels very TROUBLESHOOTER.",""
"Intravenous II","[img]https://i.imgur.com/N3M2suI.jpeg[/img]","https://store.steampowered.com/app/2608270/Intravenous_2/","",""
"Haunted Lands","[img]https://i.imgur.com/adyrqMJ.jpeg[/img]","https://store.steampowered.com/app/2980900/Haunted_Lands/","Love that old CGA look.",""
"LOVE ETERNAL","[img]https://i.imgur.com/idKuci7.jpeg[/img]","https://store.steampowered.com/app/3010610/LOVE_ETERNAL/","",""
"FANTASY LIFE i: The Girl Who Steals Time","[img]https://i.imgur.com/npHv70T.jpeg[/img]","https://store.steampowered.com/app/2993780/FANTASY_LIFE_i_The_Girl_Who_Steals_Time/","",""
"Ecstatic","[img]https://i.imgur.com/r1sJ667.jpeg[/img]","https://store.steampowered.com/app/2330300/Ecstatic/","PUNKCAKE game. Easy include.",""
"Into the Necrovale","[img]https://i.imgur.com/jhaUf3z.jpeg[/img]","https://store.steampowered.com/app/1717090/Into_the_Necrovale/","",""
"Kingdom of Night","[img]https://i.imgur.com/OBccEEN.jpeg[/img]","https://store.steampowered.com/app/1094600/Kingdom_of_Night/","Finally, 'Zombies Ate My Neighbors!' 2",""
"They Call It Gravity","[img]https://i.imgur.com/a3CMJhu.jpeg[/img]","https://store.steampowered.com/app/3759740/They_Call_It_Gravity/","",""
"TETRIS® THE GRAND MASTER 4 -ABSOLUTE EYE-","[img]https://i.imgur.com/uUj90aK.jpeg[/img]","https://store.steampowered.com/app/3328480/TETRIS_THE_GRAND_MASTER_4_ABSOLUTE_EYE/","Godspeed.",""
